Study_ID|Celltype_1,Study_ID|Celltype_2,Mean_AUROC,Match_type
human|STR SST-ADARB2 GABA,marmoset|STR SST-ADARB2 GABA,0.98,Reciprocal_top_hit
marmoset|SN-VTR-HTH GATA3-TCF7L2 GABA,human|SN-VTR-HTH GATA3-TCF7L2 GABA,0.98,Above_0.8
macaque|SN-VTR-HTH GATA3-TCF7L2 GABA,marmoset|SN GATA3-PAX8 GABA,0.98,Above_0.8
human|Oligo OPALIN,marmoset|Oligo OPALIN,0.98,Reciprocal_top_hit
macaque|ZI-HTH GABA,marmoset|ZI-HTH GABA,0.98,Above_0.8
human|STRd D2 StrioMat Hybrid MSN,macaque|STRd D2 StrioMat Hybrid MSN,0.98,Reciprocal_top_hit
marmoset|SN-VTR-HTH GATA3-TCF7L2 GABA,macaque|SN-VTR-HTH GATA3-TCF7L2 GABA,0.97,Above_0.8
human|AMY-SLEA-BNST GABA,macaque|AMY-SLEA-BNST GABA,0.97,Reciprocal_top_hit
macaque|STRd D2 StrioMat Hybrid MSN,marmoset|STRd D2 StrioMat Hybrid MSN,0.97,Above_0.8
macaque|STR SST-ADARB2 GABA,human|STR SST-CHODL GABA,0.97,Above_0.8
human|B cells,macaque|T cells,0.97,Above_0.8
human|Oligo OPALIN,macaque|Oligo OPALIN,0.97,Reciprocal_top_hit
marmoset|VTR-HTH Glut,macaque|SN-VTR GAD2 Dopa,0.97,Above_0.8
macaque|ImOligo,marmoset|ImOligo,0.97,Above_0.8
macaque|ImAstro,marmoset|Astrocyte,0.97,Above_0.8
macaque|Oligo OPALIN,marmoset|Oligo OPALIN,0.97,Above_0.8
human|AMY-SLEA-BNST D1 GABA,marmoset|AMY-SLEA-BNST GABA,0.97,Above_0.8
macaque|VTR-HTH Glut,marmoset|VTR-HTH Glut,0.97,Above_0.8
human|STRd D2 StrioMat Hybrid MSN,marmoset|STRd D2 StrioMat Hybrid MSN,0.97,Reciprocal_top_hit
human|Monocyte,marmoset|Microglia,0.97,Above_0.8
macaque|Oligo PLEKHG1,marmoset|Oligo OPALIN,0.97,Above_0.8
marmoset|OB Dopa-GABA,human|OB FRMD7 GABA,0.97,Above_0.8
human|Oligo PLEKHG1,macaque|Oligo PLEKHG1,0.97,Reciprocal_top_hit
human|OB Dopa-GABA,marmoset|OB FRMD7 GABA,0.97,Above_0.8
macaque|Monocyte,marmoset|Microglia,0.97,Above_0.8
macaque|AMY-SLEA-BNST D1 GABA,marmoset|AMY-SLEA-BNST GABA,0.96,Above_0.8
macaque|T cells,marmoset|Microglia,0.96,Above_0.8
macaque|AMY-SLEA-BNST GABA,marmoset|AMY-SLEA-BNST GABA,0.96,Above_0.8
human|ImOligo,macaque|ImOligo,0.96,Reciprocal_top_hit
marmoset|Oligo PLEKHG1,macaque|Oligo PLEKHG1,0.96,Above_0.8
human|T cells,marmoset|Microglia,0.96,Above_0.8
human|B cells,marmoset|Microglia,0.96,Above_0.8
human|ImAstro,marmoset|Astrocyte,0.95,Above_0.8
human|Oligo PLEKHG1,marmoset|Oligo OPALIN,0.95,Above_0.8
marmoset|Oligo PLEKHG1,human|Oligo PLEKHG1,0.95,Above_0.8
marmoset|ImOligo,human|Microglia,0.94,Above_0.8
marmoset|SN SEMA5A GABA,macaque|GPi Shell,0.94,Above_0.8
human|ImOligo,marmoset|ImOligo,0.94,Above_0.8
macaque|STRd D2 Matrix MSN,marmoset|STRd D2 Matrix MSN,0.93,Above_0.8
marmoset|SN EBF2 GABA,macaque|SN GATA3-PVALB GABA,0.93,Above_0.8
human|STRd D2 Matrix MSN,marmoset|STRd D2 Matrix MSN,0.93,Reciprocal_top_hit
human|STRd D1 Matrix MSN,marmoset|STRd D1 Matrix MSN,0.92,Reciprocal_top_hit
macaque|STRd D1 Matrix MSN,marmoset|STRd D1 Matrix MSN,0.92,Above_0.8
macaque|STRd D2 Striosome MSN,marmoset|STRd D2 Striosome MSN,0.92,Above_0.8
human|STRd D2 Matrix MSN,macaque|STRd D2 Matrix MSN,0.92,Reciprocal_top_hit
human|STRd D1 Matrix MSN,macaque|STRd D1 Matrix MSN,0.91,Reciprocal_top_hit
macaque|STRd D1 Striosome MSN,marmoset|STRd D1 Striosome MSN,0.91,Above_0.8
human|STRd D2 Striosome MSN,marmoset|STRd D2 Striosome MSN,0.91,Reciprocal_top_hit
macaque|STRv D2 MSN,marmoset|STRv D2 MSN,0.9,Above_0.8
human|STRd D2 Striosome MSN,macaque|STRd D2 Striosome MSN,0.9,Reciprocal_top_hit
human|STRd D1 Striosome MSN,marmoset|STRd D1 Striosome MSN,0.9,Reciprocal_top_hit
human|STRd D1 Striosome MSN,macaque|STRd D1 Striosome MSN,0.89,Reciprocal_top_hit
human|STRv D2 MSN,marmoset|STRv D2 MSN,0.87,Reciprocal_top_hit
macaque|STRv D1 MSN,marmoset|STRv D1 MSN,0.86,Above_0.8
marmoset|STRv D1 MSN,human|STRd D1 Matrix MSN,0.86,Above_0.8
human|STRv D1 MSN,marmoset|STRv D1 MSN,0.85,Above_0.8
human|STRv D2 MSN,macaque|STRv D2 MSN,0.85,Reciprocal_top_hit
human|STRv D1 MSN,macaque|STRv D1 MSN,0.83,Reciprocal_top_hit
